NAME,ID,GENRE_NAME,VALUE
top_genres_for_tracks_released_in_2022,G2.7,Hard Rock,57497.0
top_genres_for_artists_created_in_2023,G2.2,Metal,4016.0
top_genres_for_tracks_released_in_2023,G2.6,Metal,69322.0
top_genres_for_artists_created_in_2023,G2.2,Trance,1024.0
top_genres_for_artists_created_in_2023,G2.2,J-Pop,2677.0
top_genres_for_tracks_released_in_2023,G2.6,Jazz,86411.0
top_genres_for_tracks_released_in_2023,G2.6,Indian Pop,12476.0
top_genres_for_tracks_released_in_2022,G2.7,Standards,107.0
top_genres_for_tracks_released_in_2023,G2.6,Singer/Songwriter,114101.0
top_genres_for_tracks_released_in_2022,G2.7,Alternative,306551.0
top_genres_for_artists_created_in_2023,G2.2,Latin Hip-Hop/Rap,1150.0
top_genres_for_artists_all_time,G2.1,Blues,59464.0
top_genres_for_artists_all_time,G2.1,J-Pop,36040.0
top_genres_for_artists_all_time,G2.1,Latin,35941.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Singer/Songwriter,100.556328
top_genres_for_artists_created_in_2023,G2.2,African Hip-Hop/Rap,185.0
top_genres_for_tracks_released_in_2023,G2.6,Rock,275911.0
top_genres_for_artists_created_in_2023,G2.2,Reggaeton,2.0
top_genres_for_tracks_released_in_2022,G2.7,Latin Children's Music,164.0
top_genres_for_tracks_released_in_2022,G2.7,Merengue,39.0
top_genres_for_tracks_released_in_2022,G2.7,J-Pop,41233.0
top_genres_for_artists_created_in_2023,G2.2,Hard Rock,1043.0
top_genres_for_tracks_released_in_2022,G2.7,Indian Hip-Hop/Rap,772.0
top_genres_for_artists_created_in_2023,G2.2,Indie Rock,687.0
top_genres_for_tracks_released_in_2023,G2.6,Opera,1546.0
top_genres_for_tracks_released_in_2022,G2.7,Neo-Soul,858.0
top_genres_for_artists_created_in_2023,G2.2,Salsa,92.0
top_genres_for_tracks_released_in_2023,G2.6,Standards,130.0
top_genres_for_artists_created_in_2023,G2.2,Latin Pop,730.0
